SettlementPoint,Year,Month,AveragePrice
LZ_WEST,2018,6,57.967527777777775
HB_BUSAVG,2018,7,78.85944892473121
HB_HOUSTON,2018,7,79.0340456989247
HB_HUBAVG,2018,7,78.8323252688172
HB_NORTH,2018,7,78.96845430107527
HB_SOUTH,2018,7,78.84737903225806
HB_WEST,2018,7,78.51755376344084
LZ_AEN,2018,7,78.95137096774191
LZ_CPS,2018,7,79.12443548387095
LZ_HOUSTON,2018,7,79.56653225806453
LZ_LCRA,2018,7,79.06994623655916
LZ_NORTH,2018,7,79.84618279569892
LZ_RAYBN,2018,7,84.90190860215051
LZ_SOUTH,2018,7,80.44756720430111
LZ_WEST,2018,7,101.47096774193551
HB_BUSAVG,2018,8,31.661559139784945
HB_HOUSTON,2018,8,31.944247311827958
HB_HUBAVG,2018,8,31.694583333333334
HB_NORTH,2018,8,31.603051075268816
HB_SOUTH,2018,8,31.66752688172043
HB_WEST,2018,8,31.560120967741938
LZ_AEN,2018,8,31.732137096774196
LZ_CPS,2018,8,31.865685483870966
LZ_HOUSTON,2018,8,32.15962365591398
LZ_LCRA,2018,8,31.807970430107527
LZ_NORTH,2018,8,31.971586021505377
LZ_RAYBN,2018,8,32.51872311827957
LZ_SOUTH,2018,8,33.690631720430105
LZ_WEST,2018,8,33.289852150537634
HB_BUSAVG,2018,9,27.175444444444445
HB_HOUSTON,2018,9,27.58136111111111
HB_HUBAVG,2018,9,27.05302777777778
HB_NORTH,2018,9,27.29963888888889
HB_SOUTH,2018,9,27.189805555555555
HB_WEST,2018,9,26.13959722222222
LZ_AEN,2018,9,27.167305555555554
LZ_CPS,2018,9,27.51298611111111
LZ_HOUSTON,2018,9,27.722416666666668
LZ_LCRA,2018,9,27.18726388888889
LZ_NORTH,2018,9,27.88584722222222
LZ_RAYBN,2018,9,27.680888888888887
LZ_SOUTH,2018,9,28.38376388888889
LZ_WEST,2018,9,27.101097222222222
HB_BUSAVG,2018,10,29.95782258064516
HB_HOUSTON,2018,10,30.98193548387097
HB_HUBAVG,2018,10,29.889112903225808
HB_NORTH,2018,10,30.034166666666668
HB_SOUTH,2018,10,29.772513440860216
HB_WEST,2018,10,28.76133064516129
LZ_AEN,2018,10,30.31
LZ_CPS,2018,10,31.635967741935485
LZ_HOUSTON,2018,10,31.78111559139785
LZ_LCRA,2018,10,30.069879032258065
LZ_NORTH,2018,10,31.645416666666666
LZ_RAYBN,2018,10,30.624959677419355
LZ_SOUTH,2018,10,32.12697580645161
LZ_WEST,2018,10,30.004556451612903
HB_BUSAVG,2018,11,30.6445
HB_HOUSTON,2018,11,31.31923611111111
HB_HUBAVG,2018,11,30.277208333333334
HB_NORTH,2018,11,31.23488888888889
HB_SOUTH,2018,11,29.837180555555555
HB_WEST,2018,11,28.715249999999997
LZ_AEN,2018,11,30.468083333333333
LZ_CPS,2018,11,32.04120833333333
LZ_HOUSTON,2018,11,31.730333333333334
LZ_LCRA,2018,11,30.515805555555556
LZ_NORTH,2018,11,31.974125
LZ_RAYBN,2018,11,33.452444444444446
LZ_SOUTH,2018,11,33.54448611111111
LZ_WEST,2018,11,31.224027777777774
HB_BUSAVG,2018,12,30.26818548387097
HB_HOUSTON,2018,12,30.333548387096773
HB_HUBAVG,2018,12,30.19198924731183
HB_NORTH,2018,12,30.398266129032258
HB_SOUTH,2018,12,30.089301075268818
HB_WEST,2018,12,29.944005376344087
LZ_AEN,2018,12,30.094758064516125
LZ_CPS,2018,12,30.309220430107523
LZ_HOUSTON,2018,12,30.46206989247312
LZ_LCRA,2018,12,30.58266129032258
LZ_NORTH,2018,12,31.131948924731184
LZ_RAYBN,2018,12,31.55353494623656
LZ_SOUTH,2018,12,32.11272849462365
LZ_WEST,2018,12,34.98084677419355
HB_BUSAVG,2019,1,24.592567204301076
HB_HOUSTON,2019,1,25.42603494623656
HB_HUBAVG,2019,1,24.68340053763441
HB_NORTH,2019,1,24.33263440860215
HB_SOUTH,2019,1,25.08606182795699
HB_WEST,2019,1,23.881545698924732
LZ_AEN,2019,1,25.107956989247313
LZ_CPS,2019,1,26.798333333333332
LZ_HOUSTON,2019,1,25.55008064516129
LZ_LCRA,2019,1,24.93630376344086
LZ_NORTH,2019,1,24.367836021505376
LZ_RAYBN,2019,1,24.41149193548387
LZ_SOUTH,2019,1,27.057903225806452
LZ_WEST,2019,1,27.461532258064516
HB_BUSAVG,2019,2,21.18636904761905
HB_HOUSTON,2019,2,21.5078125
